data,data2,gyro
483,-0.183870968,-74
453,-0.377419355,-77
511,-0.003225806,-80
501,-0.067741935,-81
509,-0.016129032,-83
530,0.119354839,-85
519,0.048387097,-88
527,0.1,-90
533,0.138709677,-92
501,-0.067741935,-94
502,-0.061290323,-99
526,0.093548387,-104
537,0.164516129,-110
505,-0.041935484,-114
492,-0.125806452,-117
524,0.080645161,-120
545,0.216129032,-124
485,-0.170967742,-128
526,0.093548387,127
533,0.138709677,125
527,0.1,122
483,-0.183870968,118
524,0.080645161,113
510,-0.009677419,108
511,-0.003225806,103
538,0.170967742,100
512,0.003225806,98
525,0.087096774,96
515,0.022580645,96
519,0.048387097,95
512,0.003225806,95
549,0.241935484,95
505,-0.041935484,93
519,0.048387097,92
518,0.041935484,91
512,0.003225806,89
515,0.022580645,87
509,-0.016129032,86
501,-0.067741935,86
529,0.112903226,86
512,0.003225806,87
507,-0.029032258,86
481,-0.196774194,83
499,-0.080645161,76
526,0.093548387,71
547,0.229032258,65
513,0.009677419,56
516,0.029032258,-2
511,-0.003225806,-8
544,0.209677419,-16
492,-0.125806452,-25
546,0.222580645,-35
517,0.035483871,-48
517,0.035483871,-73
465,-0.3,-90
500,-0.074193548,-106
519,0.048387097,-123
512,0.003225806,116
545,0.216129032,100
534,0.14516129,87
521,0.061290323,78
499,-0.080645161,76
522,0.067741935,69
526,0.093548387,56
540,0.183870968,49
505,-0.041935484,55
599,0.564516129,63
566,0.351612903,66
525,0.087096774,64
458,-0.34516129,68
466,-0.293548387,71
489,-0.14516129,66
470,-0.267741935,63
521,0.061290323,63
541,0.190322581,73
574,0.403225806,90
497,-0.093548387,101
453,-0.377419355,107
563,0.332258065,115
424,-0.564516129,-120
500,-0.074193548,-102
507,-0.029032258,-95
414,-0.629032258,-96
576,0.416129032,-94
337,-1.125806452,-84
454,-0.370967742,-84
656,0.932258065,-88
414,-0.629032258,-91
490,-0.138709677,-96
583,0.461290323,-100
523,0.074193548,-92
422,-0.577419355,-73
502,-0.061290323,-44
523,0.074193548,-40
531,0.125806452,-41
511,-0.003225806,-36
521,0.061290323,-19
527,0.1,2
533,0.138709677,72
512,0.003225806,89
512,0.003225806,100
518,0.041935484,110
516,0.029032258,116
505,-0.041935484,125
495,-0.106451613,-120
527,0.1,-112
537,0.164516129,-107
519,0.048387097,-108
